base_unit,quote_unit,low,high,last,type,open,volume,sell,buy,at,name,dates,time
eth,wrx,1405.0,1562.0,1560.0,SPOT,1385.0,143.6139,1559.0,1539.0,2021-05-06 18:43:58,ETH/WRX,2021-05-06,18:43:58
xrp,wrx,0.639,0.75,0.71,SPOT,0.643,265764.2,0.716,0.71,2021-05-06 18:43:58,XRP/WRX,2021-05-06,18:43:58
yfi,wrx,21791.0,24458.0,23807.0,SPOT,21754.0,0.717674,24200.0,21500.0,2021-05-06 18:43:58,YFI/WRX,2021-05-06,18:43:58
bnb,wrx,262.85,283.41,280.34,SPOT,266.0,100.718,282.0,275.0,2021-05-06 18:43:58,BNB/WRX,2021-05-06,18:43:58
trx,wrx,0.0556,0.068,0.0647,SPOT,0.0563,3248851.0,0.0658,0.0643,2021-05-06 18:43:58,TRX/WRX,2021-05-06,18:43:58
eos,wrx,3.35,6.48,5.0,SPOT,3.42,18522.01,5.0,4.97,2021-05-06 18:43:58,EOS/WRX,2021-05-06,18:43:58
ltc,wrx,138.1,155.0,149.3,SPOT,144.9,164.797,149.2,145.0,2021-05-06 18:43:58,LTC/WRX,2021-05-06,18:43:58
link,wrx,19.24,21.34,21.08,SPOT,19.91,1668.02,21.2,20.0,2021-05-06 18:43:58,LINK/WRX,2021-05-06,18:43:58
enj,wrx,1.03,1.1,1.096,SPOT,1.038,22433.9,1.1,1.083,2021-05-06 18:43:58,ENJ/WRX,2021-05-06,18:43:58
doge,wrx,0.23488,0.28346,0.248,SPOT,0.2515,3015463.0,0.248,0.2462,2021-05-06 18:43:58,DOGE/WRX,2021-05-06,18:43:58
matic,wrx,0.3221,0.3514,0.3286,SPOT,0.3242,399368.2,0.334,0.326,2021-05-06 18:43:58,MATIC/WRX,2021-05-06,18:43:58
ada,wrx,0.5838,0.71,0.7001,SPOT,0.5855,153088.9,0.6938,0.68,2021-05-06 18:43:58,ADA/WRX,2021-05-06,18:43:58
bat,wrx,0.549,0.61,0.61,SPOT,0.544,13004.69,0.61,0.602,2021-05-06 18:43:58,BAT/WRX,2021-05-06,18:43:58
