base_unit,quote_unit,low,high,last,type,open,volume,sell,buy,at,name,dates,time
eth,wrx,1412.0,1562.0,1506.0,SPOT,1437.0,77.4662,1532.0,1520.0,2021-05-07 04:33:55,ETH/WRX,2021-05-07,04:33:55
xrp,wrx,0.67,0.728,0.7,SPOT,0.7,135585.8,0.7,0.693,2021-05-07 04:33:55,XRP/WRX,2021-05-07,04:33:55
yfi,wrx,21796.0,24458.0,23008.0,SPOT,22427.0,0.404156,23193.0,23008.0,2021-05-07 04:33:55,YFI/WRX,2021-05-07,04:33:55
bnb,wrx,264.0,284.25,278.67,SPOT,264.88,122.074,278.89,276.0,2021-05-07 04:33:55,BNB/WRX,2021-05-07,04:33:55
trx,wrx,0.0576,0.074,0.0691,SPOT,0.0606,2961887.0,0.0698,0.0691,2021-05-07 04:33:55,TRX/WRX,2021-05-07,04:33:55
eos,wrx,3.63,6.48,5.15,SPOT,3.82,24288.98,5.15,5.12,2021-05-07 04:33:55,EOS/WRX,2021-05-07,04:33:55
ltc,wrx,138.1,163.5,158.3,SPOT,140.3,183.673,157.9,154.8,2021-05-07 04:33:55,LTC/WRX,2021-05-07,04:33:55
link,wrx,19.51,21.34,21.23,SPOT,19.68,1285.76,21.04,20.78,2021-05-07 04:33:55,LINK/WRX,2021-05-07,04:33:55
enj,wrx,1.032,1.1,1.096,SPOT,1.055,22320.9,1.098,1.091,2021-05-07 04:33:55,ENJ/WRX,2021-05-07,04:33:55
doge,wrx,0.225,0.27249,0.2677,SPOT,0.25284,2728995.0,0.2677,0.26626,2021-05-07 04:33:55,DOGE/WRX,2021-05-07,04:33:55
matic,wrx,0.3225,0.3529,0.339,SPOT,0.3261,252417.7,0.339,0.3384,2021-05-07 04:33:55,MATIC/WRX,2021-05-07,04:33:55
ada,wrx,0.6068,0.74,0.6963,SPOT,0.6266,163287.1,0.6963,0.6932,2021-05-07 04:33:55,ADA/WRX,2021-05-07,04:33:55
bat,wrx,0.563,0.706,0.677,SPOT,0.571,13413.14,0.681,0.665,2021-05-07 04:33:55,BAT/WRX,2021-05-07,04:33:55
